2018-01-22 21:12:16,237 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:16,437 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:16,638 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:16,838 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:17,038 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:17,238 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:17,442 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:17,642 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:17,842 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:18,042 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:18,242 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:18,442 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:18,642 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:18,842 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:19,042 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:19,242 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:19,442 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
